COD_MUN,Ano,Valor,Indicador,GeoType
351770,2017,"0,98",Consultas,Municipio
351780,2017,"1,29",Consultas,Municipio
351790,2017,"23,53",Consultas,Municipio
351800,2017,"2,69",Consultas,Municipio
351810,2017,"1,1",Consultas,Municipio
351820,2017,"1,37",Consultas,Municipio
351830,2017,"1,68",Consultas,Municipio
351840,2017,"0,33",Consultas,Municipio
351850,2017,"4,02",Consultas,Municipio
351860,2017,"0,93",Consultas,Municipio
351870,2017,"0,48",Consultas,Municipio
351880,2017,"0,38",Consultas,Municipio
351885,2017,"1,15",Consultas,Municipio
351890,2017,"4,72",Consultas,Municipio
351900,2017,"2,29",Consultas,Municipio
351905,2017,"1,49",Consultas,Municipio
351907,2017,"0,58",Consultas,Municipio
351910,2017,"0,71",Consultas,Municipio
351920,2017,"4,18",Consultas,Municipio
351925,2017,"0,62",Consultas,Municipio
351930,2017,"1,36",Consultas,Municipio
351940,2017,"3,37",Consultas,Municipio
351950,2017,"5,54",Consultas,Municipio
351960,2017,"0,56",Consultas,Municipio
351970,2017,"0,9",Consultas,Municipio
351980,2017,"4,44",Consultas,Municipio
351990,2017,"1,44",Consultas,Municipio
352000,2017,"0,12",Consultas,Municipio
352010,2017,"0,96",Consultas,Municipio
352020,2017,"1,66",Consultas,Municipio
352030,2017,"0,8",Consultas,Municipio
352042,2017,"1,18",Consultas,Municipio
352044,2017,"1,74",Consultas,Municipio
352040,2017,"4,17",Consultas,Municipio
352050,2017,"0,99",Consultas,Municipio
352060,2017,"1,38",Consultas,Municipio
352070,2017,"4,75",Consultas,Municipio
352080,2017,"2,13",Consultas,Municipio
352090,2017,"1,11",Consultas,Municipio
352100,2017,"1,16",Consultas,Municipio
352110,2017,"2,3",Consultas,Municipio
352115,2017,"6,04",Consultas,Municipio
352120,2017,"2,78",Consultas,Municipio
352130,2017,"0,83",Consultas,Municipio
352140,2017,"2,81",Consultas,Municipio
352150,2017,"5,23",Consultas,Municipio
352160,2017,"1,38",Consultas,Municipio
352170,2017,"2,12",Consultas,Municipio
352180,2017,"1,03",Consultas,Municipio
352190,2017,"5,43",Consultas,Municipio
352200,2017,"1,35",Consultas,Municipio
352210,2017,"0,42",Consultas,Municipio
352215,2017,"0,01",Consultas,Municipio
352220,2017,"0,81",Consultas,Municipio
352230,2017,"0,58",Consultas,Municipio
352240,2017,"0,96",Consultas,Municipio
352250,2017,"1,52",Consultas,Municipio
352260,2017,"1,32",Consultas,Municipio
352265,2017,"0,53",Consultas,Municipio
352270,2017,"0,57",Consultas,Municipio
352280,2017,"2,89",Consultas,Municipio
352290,2017,"0,62",Consultas,Municipio
352300,2017,"3,29",Consultas,Municipio
352310,2017,"1,19",Consultas,Municipio
352320,2017,"0,35",Consultas,Municipio
352330,2017,"0,64",Consultas,Municipio
352340,2017,"0,81",Consultas,Municipio
352350,2017,"0,61",Consultas,Municipio
352360,2017,"1,38",Consultas,Municipio
352370,2017,"0,92",Consultas,Municipio
352380,2017,"2,46",Consultas,Municipio
352390,2017,"0,67",Consultas,Municipio
352400,2017,"0,9",Consultas,Municipio
352410,2017,"1,56",Consultas,Municipio
352420,2017,"1,38",Consultas,Municipio
352430,2017,"0,91",Consultas,Municipio
352440,2017,"1,3",Consultas,Municipio
352450,2017,"2,71",Consultas,Municipio
352460,2017,"0,7",Consultas,Municipio
352470,2017,"1,58",Consultas,Municipio
352480,2017,"1,41",Consultas,Municipio
352490,2017,"0,17",Consultas,Municipio
352500,2017,"0,8",Consultas,Municipio
352510,2017,"5,82",Consultas,Municipio
352520,2017,"0,74",Consultas,Municipio
352530,2017,"1,98",Consultas,Municipio
352540,2017,"3,65",Consultas,Municipio
352550,2017,"1,67",Consultas,Municipio
352560,2017,"3,27",Consultas,Municipio
352570,2017,"2,8",Consultas,Municipio
352580,2017,"2,08",Consultas,Municipio
352585,2017,"3,1",Consultas,Municipio
352590,2017,"0,8",Consultas,Municipio
352600,2017,"3,38",Consultas,Municipio
352610,2017,"0,4",Consultas,Municipio
352620,2017,"3,18",Consultas,Municipio
352630,2017,"0,54",Consultas,Municipio
352640,2017,"1,61",Consultas,Municipio
352650,2017,"1,97",Consultas,Municipio
352670,2017,"0,99",Consultas,Municipio
352680,2017,"1,39",Consultas,Municipio
352690,2017,"1,07",Consultas,Municipio
352700,2017,"1,67",Consultas,Municipio
352710,2017,"1,22",Consultas,Municipio
352720,2017,"2,27",Consultas,Municipio
352725,2017,"6,75",Consultas,Municipio
352730,2017,"0,85",Consultas,Municipio
352740,2017,"0,63",Consultas,Municipio
352750,2017,"4,06",Consultas,Municipio
352760,2017,"1,72",Consultas,Municipio
352770,2017,"1,93",Consultas,Municipio
352780,2017,"1,18",Consultas,Municipio
352790,2017,"0,23",Consultas,Municipio
352800,2017,"1,42",Consultas,Municipio
352810,2017,"1,68",Consultas,Municipio
352820,2017,"2,25",Consultas,Municipio
