COD_MUN,Ano,Valor,Indicador,GeoType
353150,2016,"14,42",Mortalidade,Municipio
353160,2016,"25,64",Mortalidade,Municipio
353180,2016,"6,59",Mortalidade,Municipio
353190,2016,"15,27",Mortalidade,Municipio
353200,2016,"32,05",Mortalidade,Municipio
353205,2016,"31,25",Mortalidade,Municipio
353220,2016,"12,5",Mortalidade,Municipio
353240,2016,"14,49",Mortalidade,Municipio
353250,2016,"10,87",Mortalidade,Municipio
353260,2016,"21,98",Mortalidade,Municipio
353270,2016,"13,7",Mortalidade,Municipio
353280,2016,"13,7",Mortalidade,Municipio
353282,2016,"33,56",Mortalidade,Municipio
353290,2016,"8,26",Mortalidade,Municipio
353300,2016,"3,79",Mortalidade,Municipio
353340,2016,"4,23",Mortalidade,Municipio
353325,2016,"29,41",Mortalidade,Municipio
353350,2016,"6,22",Mortalidade,Municipio
353360,2016,"40,54",Mortalidade,Municipio
353390,2016,"17,21",Mortalidade,Municipio
353400,2016,"16,95",Mortalidade,Municipio
353420,2016,"50,85",Mortalidade,Municipio
353430,2016,"12,5",Mortalidade,Municipio
353440,2016,"13,48",Mortalidade,Municipio
353450,2016,"43,48",Mortalidade,Municipio
353460,2016,"15,77",Mortalidade,Municipio
353470,2016,"11,93",Mortalidade,Municipio
353480,2016,"11,76",Mortalidade,Municipio
353475,2016,"8,4",Mortalidade,Municipio
353490,2016,"18,02",Mortalidade,Municipio
353500,2016,"17,86",Mortalidade,Municipio
353510,2016,32,Mortalidade,Municipio
353520,2016,"11,49",Mortalidade,Municipio
353530,2016,"8,37",Mortalidade,Municipio
353540,2016,"12,24",Mortalidade,Municipio
353550,2016,"13,14",Mortalidade,Municipio
353560,2016,"4,72",Mortalidade,Municipio
353580,2016,"3,82",Mortalidade,Municipio
353600,2016,"8,33",Mortalidade,Municipio
353610,2016,"38,1",Mortalidade,Municipio
353650,2016,"6,25",Mortalidade,Municipio
353670,2016,"7,18",Mortalidade,Municipio
353680,2016,"14,71",Mortalidade,Municipio
353700,2016,"19,7",Mortalidade,Municipio
353710,2016,"6,56",Mortalidade,Municipio
353720,2016,8,Mortalidade,Municipio
353730,2016,"10,23",Mortalidade,Municipio
353740,2016,"18,32",Mortalidade,Municipio
353750,2016,"8,4",Mortalidade,Municipio
353760,2016,"14,63",Mortalidade,Municipio
353770,2016,"61,54",Mortalidade,Municipio
353780,2016,"10,07",Mortalidade,Municipio
353790,2016,"15,54",Mortalidade,Municipio
353800,2016,"12,04",Mortalidade,Municipio
353810,2016,"6,62",Mortalidade,Municipio
353820,2016,"14,08",Mortalidade,Municipio
353830,2016,"52,63",Mortalidade,Municipio
353850,2016,"6,76",Mortalidade,Municipio
353860,2016,"16,23",Mortalidade,Municipio
